Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
6/5/2013,12252.05,12347.3,12196.75,12289.35,14839954,1409.2
6/6/2013,12225.35,12475.05,12184.05,12398.4,15573395,1412.26
6/7/2013,12347.55,12488.6,12209.25,12231.5,16644927,1606.5
6/10/2013,12292.65,12363.8,12017.9,12087.05,13702368,1222.02
6/11/2013,12007.75,12031.9,11795.45,11820.5,22478487,2100.41
6/12/2013,11791.1,11899.05,11732.35,11814.85,20252767,1972.97
6/13/2013,11693.9,11793.3,11656.9,11686.75,15788039,1407.23
6/14/2013,11827.35,11947.35,11803.8,11922.85,19466747,1648.31
6/17/2013,11928.3,11992.95,11735.25,11971.05,18764513,1659.23
6/18/2013,11946.2,11950.95,11795.2,11820.95,15617409,1281.03
6/19/2013,11798.65,11867.2,11738.7,11852.65,13690983,1141.88
6/20/2013,11677.35,11677.35,11347.55,11375.4,23903329,1993.26
6/21/2013,11323.35,11420.25,11210.75,11340.15,27180620,2117.78
6/24/2013,11272.2,11275.4,11134.2,11178.3,19857990,1630.29
6/25/2013,11213.1,11325.5,11107.8,11181.05,29636216,2429.99
6/26/2013,11211,11261.65,11033.75,11066.55,20644791,1708.26
6/27/2013,11225.5,11277.05,11164.75,11235.75,27443073,2214.12
6/28/2013,11367.2,11654.7,11367.2,11617.25,25527065,1897.58
7/1/2013,11597.45,11733.1,11597.45,11714.9,15760165,1215.61
7/2/2013,11703.95,11752.9,11590.5,11614.25,16195026,1294.27
7/3/2013,11500.3,11505.75,11322.8,11357.8,20685004,1634.42
7/4/2013,11389.65,11454.3,11273.6,11381.2,24263969,1819.13
7/5/2013,11485.85,11530.65,11418,11434.3,15515391,1245.65
7/8/2013,11328.2,11328.2,11176.65,11283.3,17371280,1384.11
7/9/2013,11365.2,11458.3,11353.05,11442.45,17127320,1437.64
7/10/2013,11477.55,11540.9,11317.2,11364.45,16540187,1297.64
7/11/2013,11541.95,11710.45,11541.95,11655.3,16770622,1271.29
7/12/2013,11733.05,11743.25,11589.45,11722.8,16006244,1214.83
7/15/2013,11678.9,11811.9,11621.75,11790.25,16069280,1312.12
7/16/2013,11459.4,11459.4,11209.75,11226.15,34536971,2536.05
7/17/2013,11264,11264,10829.75,10971.6,42534445,2807.46
7/18/2013,11033.5,11236.85,10837.75,11187.7,39850770,2917.83
7/19/2013,11223.8,11237.9,10934.25,10973.9,28778059,2061.87
7/22/2013,10948.4,11132.2,10948.4,11086.95,17830064,1153.46
7/23/2013,11218.8,11285.8,11195,11239.7,20127227,1382.34
7/24/2013,11018.05,11018.05,10661.3,10720.15,53956494,3015.02
7/25/2013,10667.05,10772.7,10594.6,10614,40830437,2720.3
7/26/2013,10701.25,10723.3,10352.95,10465.25,52076290,2700.42
7/29/2013,10451.85,10451.85,10310.65,10331,27018135,1609.61
7/30/2013,10339.1,10449.7,10195.5,10209.55,35138744,2193.81
7/31/2013,10164.65,10164.65,9863.05,10015.75,60228820,3382.13
8/1/2013,10130.1,10219.4,9867.6,10142.95,53399835,2943.56
8/2/2013,10162.15,10219.6,9958.4,9997.8,38760558,2322.8
8/5/2013,10031.3,10117.65,9818.5,10094.9,32459507,1720.7
8/6/2013,10013.6,10013.6,9660.3,9703.1,37590197,2115.21
8/7/2013,9713.45,9848.35,9667.55,9757.25,43422854,2414.25
8/8/2013,9780.55,9909.75,9724.8,9816.4,32947741,1878.11
8/12/2013,9849.85,9853.95,9669.1,9711.4,45689270,2720.51
8/13/2013,9666.55,10007.6,9582.55,9985.65,41036174,2348.4
8/14/2013,10010.15,10071.25,9912.35,10026.4,37464987,2070.85
8/16/2013,9887.9,9891.4,9420.15,9450.85,48448848,2713.57
8/19/2013,9425.5,9425.5,9087,9145,45770987,2238.54
8/20/2013,8939.2,9277.05,8860.15,9218.95,60849087,2869.55
8/21/2013,9652,9766.1,9129.25,9264.4,88354906,4027.81
8/22/2013,9194.85,9373.8,9005.25,9268.9,73295799,3341.2
8/23/2013,9322.8,9493.85,9215.85,9470.1,53547580,2644.26
8/26/2013,9529.7,9586.65,9294.05,9373.55,39800636,2086.9
8/27/2013,9208.15,9208.15,8842.5,8870.5,54297562,2750.96
8/28/2013,8729.25,8869.7,8366.75,8760.85,68036121,3316.37
8/29/2013,8897,8958.35,8759.85,8904.6,56814329,2753.45
8/30/2013,8891.9,9135.55,8846.55,9049.2,79306095,4436.79
9/2/2013,9112.8,9233.6,9086.75,9139.5,37748420,1875.13
9/3/2013,9220.95,9220.95,8625.4,8664.2,47745072,2292.58
9/4/2013,8688.65,8916.75,8605.65,8845.75,47968590,2348.9
9/5/2013,9253.45,9704.6,9253.45,9682.4,95347572,5028.08
9/6/2013,9746.65,9989.85,9568.5,9961.4,67680522,3785.88
9/10/2013,10084,10304.9,10084,10188.25,54667735,3193.8
9/11/2013,10112.65,10409.15,9980.5,10369.1,62590774,2982.38
9/12/2013,10338.3,10358.25,10070.95,10158.55,54840046,2798.32
9/13/2013,10067.15,10272.4,10037.3,10180.45,50632197,2567.02
9/16/2013,10418.5,10536.7,10175.05,10368.4,50013989,2821.75
9/17/2013,10320.85,10334.3,10223.95,10279.6,34206830,1822.55
9/18/2013,10327.15,10481.5,10241.95,10447.85,35045627,1798.14
9/19/2013,10984.5,11219.45,10984.5,11148.65,91510453,5160.91
9/20/2013,11163.95,11188.1,10409.8,10686.8,89815953,4761.38
9/23/2013,10466.3,10509.55,10177.9,10211.7,54757693,2793.67
9/24/2013,10063.05,10289.75,10046.7,10175.9,54962840,2632.11
9/25/2013,10191.85,10232.45,9919.7,10081.7,48260906,2521.55
9/26/2013,10091.4,10189.4,10051.2,10098.25,45278089,2302.43
9/27/2013,10131.65,10131.65,9883.95,9899.75,34271212,1789.9
9/30/2013,9783.9,9815,9587.75,9617.8,37041035,1905.07
10/1/2013,9685.15,9912.95,9582.75,9883.3,42985157,1938.95
10/3/2013,9946.3,10241.45,9888.7,10222.95,41745535,2319.36
10/4/2013,10171.45,10328.75,10111.75,10197.15,39283227,2004.99
10/7/2013,10124.15,10124.15,9877.45,10082.1,30274728,1624.45
10/8/2013,10418.85,10451.15,10090.6,10141.45,41846003,2235.53
10/9/2013,10004.4,10360.35,9947.25,10334.95,41708816,2394.45
10/10/2013,10309.2,10372.05,10199.55,10288.95,31795087,1868.32
10/11/2013,10423.6,10649.3,10307.9,10622.15,41438794,2347.78
10/14/2013,10588.95,10706.8,10550,10665.25,37489265,1982.77
10/15/2013,10738.2,10738.2,10339.1,10389.25,38032749,2036.87
10/17/2013,10406.05,10416.2,10274.35,10336.55,42007590,2517.35
10/18/2013,10387.3,10784,10387.3,10744.9,37464205,2338.74
10/21/2013,10751.7,10871.75,10700.55,10797.55,32770260,1844.93
10/22/2013,10743.8,10907.55,10707.85,10809.1,49088449,2577.51
10/23/2013,10837.05,10912.8,10732.35,10880.65,48996814,2768.36
10/24/2013,10839.45,11091.6,10839.45,10902.45,41760146,2323.17
10/25/2013,10880.85,10951.75,10797.6,10896.5,30352369,1908.73
10/28/2013,10924.45,11002.4,10752.35,10773.2,28172998,1661.58
10/29/2013,10779.65,11268.2,10669,11241.65,53630179,3110.36
10/30/2013,11284.85,11366.45,11211.5,11249.35,35825448,2132.89
10/31/2013,11211.3,11512.5,11170.05,11473.15,79514285,3742.01
11/1/2013,11472.2,11694.45,11443.6,11628.65,88547481,3922
11/3/2013,11678.7,11691.2,11582.65,11614.05,7221409,367.93
11/5/2013,11539.75,11736.2,11462.1,11498.9,58827183,2960.25
11/6/2013,11510.4,11510.4,11269.95,11292.55,34778846,1921
11/7/2013,11320.85,11398.6,11024.75,11054.9,44216194,2550.35
11/8/2013,11011.05,11067,10841.6,10913.15,41959750,2246.55
11/11/2013,10786.25,10940.5,10674.5,10758.45,40181781,2087.82
11/12/2013,10755.65,10860.35,10543.15,10583.05,41554577,2202.53
11/13/2013,10469.1,10652.3,10412.05,10523.35,55024062,3457.77
11/14/2013,10660.65,10891.9,10660.65,10811.2,36309906,2133.16
11/18/2013,10962.25,11156.6,10962.25,11142.3,35564106,2040.7
11/19/2013,11159.05,11207.7,11107.35,11187.85,36556479,2172.67
11/20/2013,11127.35,11156.5,10905.55,10967.15,34278859,1885.63
11/21/2013,10866.3,10866.3,10657.85,10706.9,37510455,2080.04
11/22/2013,10796.45,10820,10630.55,10677.35,31664440,1714.1
11/25/2013,10780.6,11097.95,10780.6,11083.4,35908651,2060.13
11/26/2013,11040.65,11133.4,10893.3,10909.35,66596131,2785.83
11/27/2013,10941.6,10961.35,10827.75,10899.3,30064807,1495.09
11/28/2013,10994.25,11062.15,10843,10906.75,30946854,1877.12
11/29/2013,10941.6,11186.15,10941.6,11153.95,31900370,1793.09
